Date,AI_Platform,Active_Users,New_Users,Churned_Users,Daily_Churn_Rate,Retention_Rate,Query_Type,Input_Text,Response_Tokens,Topic_Category,User_Rating,User_Experience_Score,Session_Duration_sec,Language,Response_Accuracy,Response_Speed_sec,Response_Time_Category,Correction_Needed,User_Return_Frequency,Customer_Support_Interactions,Region
7,ChatGPT,600000,30000,30000,0.05,0.95,General,Explain climate change in simple terms,464,教育,3,0.79,22,德文,0.835,3.54,Standard,0,4,1,Pitcairn Islands
7,ChatGPT,600000,30000,30000,0.05,0.95,General,What are the 最好的做法 for climate change?,458,最好的做法,4,1.19,32,英文,0.78,3.78,Standard,0,2,2,Chad
7,ChatGPT,600000,30000,30000,0.05,0.95,General,Write a blog post about climate change,425,生成內容,3,0.79,6,法文,0.7881,3.82,Standard,0,6,3,Pakistan
7,ChatGPT,600000,30000,30000,0.05,0.95,General,What are the 最好的做法 for AI ethics?,461,最好的做法,3,0.79,25,德文,0.8254,3.73,Standard,0,10,2,Malaysia
7,ChatGPT,600000,30000,30000,0.05,0.95,General,What are the 最好的做法 for climate change?,325,最好的做法,4,1.19,5,英文,0.8165,3.66,Standard,0,8,0,Japan
10,DeepSeek,650000,65000,13000,0.02,0.95,Technical,Optimize this neural networks code:,299,code優化,5,2.19,27,中文,0.8398,0.74,Instant,1,7,0,Jamaica
10,DeepSeek,650000,65000,13000,0.02,0.95,Technical,Debug this error in SQL optimization:,231,debug,5,2.19,41,英文,0.8896,0.67,Instant,0,5,3,Lesotho
10,DeepSeek,650000,65000,13000,0.02,0.95,General,How to implement neural networks in Python?,243,協助實作,5,2.19,21,德文,0.8228,0.87,Instant,1,9,1,Romania
10,DeepSeek,650000,65000,13000,0.02,0.95,Technical,Debug this error in neural networks:,485,debug,5,2.19,47,德文,0.8219,0.86,Instant,0,3,2,Andorra
10,DeepSeek,650000,65000,13000,0.02,0.95,General,How to implement REST APIs in Python?,438,協助實作,5,2.19,60,德文,0.8226,0.63,Instant,0,5,2,Zambia
10,DeepSeek,650000,65000,13000,0.02,0.95,Technical,Debug this error in SQL optimization:,335,debug,5,2.19,28,西班牙文,0.8778,0.87,Instant,0,5,2,Poland
10,DeepSeek,650000,65000,13000,0.02,0.95,Technical,Debug this error in neural networks:,445,debug,5,2.19,14,中文,0.851,0.79,Instant,0,10,0,Malaysia
10,DeepSeek,650000,65000,13000,0.02,0.95,Technical,Explain REST APIs algorithm,62,解說演算法,4,1.79,50,法文,0.8686,0.98,Instant,0,6,0,Martinique
10,DeepSeek,650000,65000,13000,0.02,0.95,General,How to implement neural networks in Python?,150,協助實作,4,1.79,23,中文,0.8634,0.92,Instant,0,7,2,Kyrgyz Republic
10,DeepSeek,650000,65000,13000,0.02,0.95,General,How to implement SQL optimization in Python?,298,協助實作,5,2.19,41,中文,0.905,0.94,Instant,1,8,1,Oman
8,ChatGPT,1150000,57500,57500,0.05,0.95,General,What are the 最好的做法 for AI ethics?,392,最好的做法,4,1.29,19,中文,0.7379,2.98,Fast,0,4,1,Argentina
8,ChatGPT,1150000,57500,57500,0.05,0.95,General,Write a blog post about AI ethics,66,生成內容,3,0.89,7,法文,0.6955,3.1,Fast,0,4,3,Nicaragua
8,ChatGPT,1150000,57500,57500,0.05,0.95,General,What are the 最好的做法 for AI ethics?,378,最好的做法,4,1.29,21,法文,0.7212,3.09,Fast,0,6,1,Oman
8,ChatGPT,1150000,57500,57500,0.05,0.95,General,Draft a professional email about personal finance,341,專業寫作,5,1.69,16,德文,,2.91,Fast,0,7,3,Moldova
8,ChatGPT,1150000,57500,57500,0.05,0.95,General,What are the 最好的做法 for climate change?,324,最好的做法,3,0.89,21,中文,0.7225,2.86,Fast,0,2,3,United States Minor Outlying Islands
8,ChatGPT,1150000,57500,57500,0.05,0.95,General,What are the 最好的做法 for personal finance?,88,最好的做法,3,0.89,5,西班牙文,0.6827,3.08,Fast,0,5,0,Azerbaijan
8,ChatGPT,1150000,57500,57500,0.05,0.95,General,What are the 最好的做法 for AI ethics?,142,最好的做法,3,0.89,33,英文,0.7271,2.98,Fast,0,8,1,Denmark
8,ChatGPT,1150000,57500,57500,0.05,0.95,General,Draft a professional email about climate change,120,專業寫作,4,1.29,40,德文,0.662,2.91,Fast,0,8,1,South Georgia and the South Sandwich Islands
8,ChatGPT,1150000,57500,57500,0.05,0.95,General,Explain climate change in simple terms,286,教育,3,0.89,20,中文,0.6781,3.07,Fast,0,1,2,Christmas Island
8,ChatGPT,1150000,57500,57500,0.05,0.95,General,Draft a professional email about climate change,111,專業寫作,4,1.29,16,西班牙文,0.7178,2.94,Fast,0,2,0,Oman
1,DeepSeek,2900000,290000,58000,0.02,0.95,Technical,Debug this error in neural networks:,293,debug,5,2.13,28,西班牙文,0.9571,1.09,Fast,0,3,1,Lebanon
1,DeepSeek,2900000,290000,58000,0.02,0.95,Technical,Optimize this REST APIs code:,188,code優化,5,2.13,41,德文,0.8963,1.12,Fast,0,3,3,Italy
1,DeepSeek,2900000,290000,58000,0.02,0.95,General,How to implement SQL optimization in Python?,500,協助實作,5,2.13,20,法文,0.9287,1.38,Fast,1,3,1,Guernsey
1,DeepSeek,2900000,290000,58000,0.02,0.95,General,How to implement REST APIs in Python?,410,協助實作,5,2.13,10,中文,0.9237,1.3,Fast,1,8,2,Nepal
1,DeepSeek,2900000,290000,58000,0.02,0.95,Technical,Explain REST APIs algorithm,153,解說演算法,5,2.13,20,法文,0.9519,1.19,Fast,0,7,2,Monaco
1,DeepSeek,2900000,290000,58000,0.02,0.95,Technical,Optimize this neural networks code:,363,code優化,5,2.13,40,西班牙文,0.9391,1.18,Fast,0,7,2,Sri Lanka
4,ChatGPT,750000,37500,37500,0.05,0.95,General,Draft a professional email about climate change,440,專業寫作,3,0.79,32,英文,0.9249,3.99,Standard,0,1,2,Cote d'Ivoire
3,DeepSeek,1400000,140000,28000,0.02,0.95,Technical,Debug this error in neural networks:,486,debug,5,2.01,32,德文,0.9112,2.03,Fast,0,8,1,Ghana
3,DeepSeek,1400000,140000,28000,0.02,0.95,Technical,Debug this error in neural networks:,341,debug,5,2.01,49,英文,0.8973,1.8,Fast,0,7,2,Albania
3,DeepSeek,1400000,140000,28000,0.02,0.95,Technical,Optimize this REST APIs code:,248,code優化,5,2.01,36,英文,0.9295,1.66,Fast,0,6,2,Iraq
3,DeepSeek,1400000,140000,28000,0.02,0.95,General,How to implement neural networks in Python?,335,協助實作,5,2.01,51,法文,0.9121,1.72,Fast,0,3,2,Brazil
3,DeepSeek,1400000,140000,28000,0.02,0.95,Technical,Explain REST APIs algorithm,60,解說演算法,4,1.61,29,中文,0.9909,1.98,Fast,0,2,2,Niue
3,DeepSeek,1400000,140000,28000,0.02,0.95,Technical,Explain neural networks algorithm,78,解說演算法,5,2.01,40,德文,0.9609,1.77,Fast,0,10,0,Lithuania
3,DeepSeek,1400000,140000,28000,0.02,0.95,Technical,Debug this error in neural networks:,169,debug,5,2.01,46,英文,0.911,1.77,Fast,1,9,2,Svalbard & Jan Mayen Islands
3,DeepSeek,1400000,140000,28000,0.02,0.95,General,How to implement REST APIs in Python?,462,協助實作,5,2.01,32,德文,0.9826,2.02,Fast,0,7,0,Malawi
6,ChatGPT,650000,32500,32500,0.05,0.95,General,Draft a professional email about climate change,487,專業寫作,4,1.25,33,英文,0.7908,3.37,Standard,0,10,3,Fiji
6,ChatGPT,650000,32500,32500,0.05,0.95,General,Draft a professional email about personal finance,343,專業寫作,4,1.25,22,英文,0.7173,3.19,Standard,0,7,1,France
6,ChatGPT,650000,32500,32500,0.05,0.95,General,Write a blog post about AI ethics,486,生成內容,4,1.25,8,西班牙文,,3.28,Standard,1,9,3,Maldives
6,ChatGPT,650000,32500,32500,0.05,0.95,General,Write a blog post about climate change,227,生成內容,5,1.65,25,德文,0.7797,3.29,Standard,0,7,0,Isle of Man
6,ChatGPT,650000,32500,32500,0.05,0.95,General,Write a blog post about AI ethics,88,生成內容,5,1.65,8,德文,0.7595,3.39,Standard,0,7,3,Guinea
6,ChatGPT,650000,32500,32500,0.05,0.95,General,Explain personal finance in simple terms,162,教育,5,1.65,26,西班牙文,0.7127,3.3,Standard,0,7,3,Haiti
6,ChatGPT,650000,32500,32500,0.05,0.95,General,What are the 最好的做法 for personal finance?,440,最好的做法,4,1.25,17,西班牙文,0.7529,3.28,Standard,0,2,3,Sudan
6,ChatGPT,650000,32500,32500,0.05,0.95,General,What are the 最好的做法 for AI ethics?,198,最好的做法,3,0.85,39,英文,0.7301,3.06,Standard,0,10,1,Guinea-Bissau
6,ChatGPT,650000,32500,32500,0.05,0.95,General,Write a blog post about personal finance,201,生成內容,4,1.25,25,英文,0.7631,3.35,Standard,1,2,3,Saint Pierre and Miquelon
6,ChatGPT,650000,32500,32500,0.05,0.95,General,Explain climate change in simple terms,480,教育,5,1.65,10,西班牙文,0.7692,3.34,Standard,0,10,0,Sierra Leone
6,ChatGPT,650000,32500,32500,0.05,0.95,General,Write a blog post about personal finance,339,生成內容,5,1.65,31,法文,0.8008,3.39,Standard,0,2,3,Canada
6,ChatGPT,650000,32500,32500,0.05,0.95,General,Write a blog post about personal finance,252,生成內容,4,1.25,26,英文,0.7366,3.44,Standard,0,5,0,Portugal
6,ChatGPT,650000,32500,32500,0.05,0.95,General,Explain AI ethics in simple terms,314,教育,4,1.25,28,英文,0.793,3.42,Standard,0,2,3,South Georgia and the South Sandwich Islands
6,ChatGPT,650000,32500,32500,0.05,0.95,General,Write a blog post about personal finance,183,生成內容,5,1.65,17,西班牙文,0.8095,3.32,Standard,0,2,1,Bolivia
6,ChatGPT,650000,32500,32500,0.05,0.95,General,Draft a professional email about climate change,177,專業寫作,4,1.25,27,英文,0.7869,3.25,Standard,0,6,0,Timor-Leste
8,DeepSeek,350000,35000,7000,0.02,0.95,Technical,Optimize this REST APIs code:,242,code優化,5,2.08,28,法文,0.8895,1.23,Fast,0,8,0,Mauritania
8,DeepSeek,350000,35000,7000,0.02,0.95,Technical,Explain SQL optimization algorithm,442,解說演算法,5,2.08,33,英文,0.8882,1.4,Fast,0,6,2,Benin
8,DeepSeek,350000,35000,7000,0.02,0.95,Technical,Explain SQL optimization algorithm,128,解說演算法,5,2.08,18,西班牙文,0.8896,1.31,Fast,1,10,0,Georgia
8,DeepSeek,350000,35000,7000,0.02,0.95,Technical,Debug this error in SQL optimization:,332,debug,5,2.08,60,德文,0.8655,1.44,Fast,1,9,2,Malta
8,DeepSeek,350000,35000,7000,0.02,0.95,Technical,Debug this error in SQL optimization:,83,debug,5,2.08,56,西班牙文,0.8698,1.34,Fast,0,2,3,Pitcairn Islands
11,ChatGPT,400000,20000,20000,0.05,0.95,General,Draft a professional email about climate change,357,專業寫作,3,0.74,33,中文,0.919,4.26,Standard,0,6,1,Belgium
11,ChatGPT,400000,20000,20000,0.05,0.95,General,What are the 最好的做法 for personal finance?,79,最好的做法,4,1.14,14,英文,,3.95,Standard,1,8,0,Western Sahara
11,ChatGPT,400000,20000,20000,0.05,0.95,General,Draft a professional email about personal finance,373,專業寫作,3,0.74,33,西班牙文,0.8823,4.09,Standard,0,4,0,Mauritania
11,ChatGPT,400000,20000,20000,0.05,0.95,General,Explain climate change in simple terms,342,教育,5,1.54,39,英文,0.8773,4.04,Standard,0,9,0,Greenland
11,ChatGPT,400000,20000,20000,0.05,0.95,General,What are the 最好的做法 for personal finance?,478,最好的做法,4,1.14,15,德文,0.8627,3.92,Standard,0,1,2,Netherlands
11,ChatGPT,400000,20000,20000,0.05,0.95,General,Write a blog post about personal finance,336,生成內容,3,0.74,26,法文,0.9062,4.2,Standard,0,9,0,Costa Rica
4,DeepSeek,1550000,155000,31000,0.02,0.95,Technical,Explain SQL optimization algorithm,344,解說演算法,5,2.01,25,英文,0.9353,1.8,Fast,1,6,2,Colombia
4,DeepSeek,1550000,155000,31000,0.02,0.95,Technical,Optimize this REST APIs code:,380,code優化,5,2.01,19,德文,0.9392,1.87,Fast,0,8,0,Gambia
7,ChatGPT,1200000,60000,60000,0.05,0.95,General,Write a blog post about climate change,64,生成內容,3,1.01,33,英文,0.7439,2.21,Fast,0,6,1,Wallis and Futuna
7,ChatGPT,1200000,60000,60000,0.05,0.95,General,Write a blog post about climate change,290,生成內容,4,1.41,5,法文,0.7046,2.28,Fast,0,9,2,Lesotho
7,ChatGPT,1200000,60000,60000,0.05,0.95,General,What are the 最好的做法 for climate change?,243,最好的做法,5,1.81,15,西班牙文,0.7502,2.59,Fast,0,3,0,Mauritius
7,ChatGPT,1200000,60000,60000,0.05,0.95,General,Explain AI ethics in simple terms,359,教育,3,1.01,25,德文,0.7053,2.53,Fast,0,8,1,Anguilla
7,ChatGPT,1200000,60000,60000,0.05,0.95,General,Draft a professional email about AI ethics,274,專業寫作,3,1.01,31,中文,0.7238,2.35,Fast,0,10,1,Ukraine
7,ChatGPT,1200000,60000,60000,0.05,0.95,General,Draft a professional email about AI ethics,121,專業寫作,3,1.01,30,法文,0.685,2.3,Fast,0,5,2,Estonia
7,ChatGPT,1200000,60000,60000,0.05,0.95,General,What are the 最好的做法 for AI ethics?,174,最好的做法,3,1.01,29,中文,0.6719,2.24,Fast,0,6,2,Albania
7,ChatGPT,1200000,60000,60000,0.05,0.95,General,What are the 最好的做法 for personal finance?,451,最好的做法,5,1.81,11,德文,0.7349,2.2,Fast,0,9,3,Timor-Leste
7,ChatGPT,1200000,60000,60000,0.05,0.95,General,Explain personal finance in simple terms,96,教育,4,1.41,7,法文,0.6725,2.24,Fast,0,7,1,Gabon
7,ChatGPT,1200000,60000,60000,0.05,0.95,General,Explain climate change in simple terms,433,教育,3,1.01,39,西班牙文,0.719,2.56,Fast,0,6,3,Lesotho
7,ChatGPT,1200000,60000,60000,0.05,0.95,General,Draft a professional email about personal finance,197,專業寫作,5,1.81,33,西班牙文,0.7205,2.55,Fast,1,10,2,Sudan
7,ChatGPT,1200000,60000,60000,0.05,0.95,General,What are the 最好的做法 for climate change?,178,最好的做法,5,1.81,12,法文,0.6965,2.37,Fast,0,7,1,Portugal
7,ChatGPT,1200000,60000,60000,0.05,0.95,General,Write a blog post about climate change,164,生成內容,5,1.81,16,中文,0.7108,2.37,Fast,1,2,3,Mauritania
7,ChatGPT,1200000,60000,60000,0.05,0.95,General,Write a blog post about personal finance,246,生成內容,4,1.41,26,法文,0.7374,2.33,Fast,0,10,3,San Marino
7,ChatGPT,1200000,60000,60000,0.05,0.95,General,Write a blog post about personal finance,112,生成內容,4,1.41,20,法文,0.7622,2.35,Fast,0,9,1,Cyprus
7,ChatGPT,1200000,60000,60000,0.05,0.95,General,What are the 最好的做法 for personal finance?,346,最好的做法,4,1.41,28,德文,0.6972,2.43,Fast,0,7,2,Guyana
7,ChatGPT,1200000,60000,60000,0.05,0.95,General,What are the 最好的做法 for personal finance?,462,最好的做法,4,1.41,11,法文,0.7504,2.4,Fast,1,5,3,Bahamas
7,ChatGPT,1200000,60000,60000,0.05,0.95,General,What are the 最好的做法 for personal finance?,357,最好的做法,3,1.01,13,德文,0.7556,2.58,Fast,1,2,0,Niger
7,ChatGPT,1200000,60000,60000,0.05,0.95,General,Draft a professional email about climate change,439,專業寫作,3,1.01,29,中文,0.768,2.47,Fast,0,9,2,Haiti
11,DeepSeek,800000,80000,16000,0.02,0.95,General,How to implement neural networks in Python?,331,協助實作,5,1.99,30,英文,0.8795,1.75,Fast,0,6,3,Antigua and Barbuda
11,DeepSeek,800000,80000,16000,0.02,0.95,Technical,Optimize this neural networks code:,144,code優化,5,1.99,11,德文,0.8875,1.97,Fast,0,8,0,Nauru
5,ChatGPT,700000,35000,35000,0.05,0.95,General,What are the 最好的做法 for climate change?,445,最好的做法,5,1.83,23,法文,0.8208,2.59,Fast,0,5,3,Bangladesh
5,ChatGPT,700000,35000,35000,0.05,0.95,General,Explain AI ethics in simple terms,448,教育,4,1.43,17,英文,0.7818,2.56,Fast,0,4,3,Iran
5,ChatGPT,700000,35000,35000,0.05,0.95,General,What are the 最好的做法 for climate change?,160,最好的做法,3,1.03,16,中文,0.8083,2.48,Fast,0,9,3,French Polynesia
4,DeepSeek,1550000,155000,31000,0.02,0.95,Technical,Optimize this SQL optimization code:,195,code優化,5,2.07,21,英文,0.8363,1.49,Fast,0,10,2,Guinea
5,ChatGPT,700000,35000,35000,0.05,0.95,General,Explain AI ethics in simple terms,222,教育,5,1.33,27,中文,0.7557,4.93,Standard,0,1,0,Eritrea
5,ChatGPT,700000,35000,35000,0.05,0.95,General,Draft a professional email about climate change,147,專業寫作,3,0.53,38,德文,0.786,4.93,Standard,0,5,3,Ireland
5,ChatGPT,700000,35000,35000,0.05,0.95,General,Explain personal finance in simple terms,422,教育,4,0.93,39,西班牙文,0.7768,4.79,Standard,0,3,2,Central African Republic
5,ChatGPT,700000,35000,35000,0.05,0.95,General,Draft a professional email about AI ethics,356,專業寫作,3,0.53,10,西班牙文,0.7568,5.14,Standard,0,10,1,Malta
5,ChatGPT,700000,35000,35000,0.05,0.95,General,What are the 最好的做法 for climate change?,338,最好的做法,4,0.93,5,中文,0.8044,4.93,Standard,0,1,2,Greenland
5,ChatGPT,700000,35000,35000,0.05,0.95,General,Draft a professional email about AI ethics,146,專業寫作,5,1.33,26,中文,0.772,4.91,Standard,0,1,0,Bhutan
5,ChatGPT,700000,35000,35000,0.05,0.95,General,Explain personal finance in simple terms,271,教育,3,0.53,8,西班牙文,0.7985,4.78,Standard,1,4,1,Cayman Islands
11,DeepSeek,800000,80000,16000,0.02,0.95,Technical,Explain neural networks algorithm,136,解說演算法,5,1.98,37,德文,0.8887,1.99,Fast,0,5,0,Iceland
11,DeepSeek,800000,80000,16000,0.02,0.95,General,How to implement REST APIs in Python?,367,協助實作,5,1.98,59,德文,0.8791,2.06,Fast,0,2,3,Nicaragua
11,DeepSeek,800000,80000,16000,0.02,0.95,General,How to implement REST APIs in Python?,491,協助實作,5,1.98,48,德文,0.9262,1.86,Fast,1,5,3,Mali
12,ChatGPT,350000,17500,17500,0.05,0.95,General,What are the 最好的做法 for AI ethics?,316,最好的做法,5,1.57,8,德文,0.768,3.8,Standard,0,7,1,Iraq
12,ChatGPT,350000,17500,17500,0.05,0.95,General,Explain personal finance in simple terms,395,教育,4,1.17,11,法文,0.8011,3.86,Standard,0,5,2,Togo
12,ChatGPT,350000,17500,17500,0.05,0.95,General,Explain personal finance in simple terms,246,教育,4,1.17,37,德文,0.7833,3.68,Standard,0,1,1,Hong Kong
12,ChatGPT,350000,17500,17500,0.05,0.95,General,What are the 最好的做法 for personal finance?,401,最好的做法,3,0.77,30,德文,0.752,3.77,Standard,0,4,0,Pitcairn Islands
12,ChatGPT,350000,17500,17500,0.05,0.95,General,Draft a professional email about climate change,227,專業寫作,5,1.57,23,德文,0.7707,3.75,Standard,0,4,0,New Caledonia
12,ChatGPT,350000,17500,17500,0.05,0.95,General,Write a blog post about personal finance,209,生成內容,4,1.17,38,英文,0.7614,3.48,Standard,0,5,2,New Caledonia
12,ChatGPT,350000,17500,17500,0.05,0.95,General,Explain AI ethics in simple terms,433,教育,4,1.17,33,中文,0.7359,3.53,Standard,0,2,3,Jersey
12,ChatGPT,350000,17500,17500,0.05,0.95,General,Explain climate change in simple terms,108,教育,5,1.57,9,中文,0.7323,3.78,Standard,0,4,3,Myanmar
12,ChatGPT,350000,17500,17500,0.05,0.95,General,Draft a professional email about AI ethics,68,專業寫作,4,1.17,38,法文,0.7576,3.74,Standard,0,4,3,Falkland Islands (Malvinas)
12,ChatGPT,350000,17500,17500,0.05,0.95,General,Draft a professional email about climate change,67,專業寫作,3,0.77,19,法文,0.7387,3.48,Standard,0,2,3,Kenya
12,ChatGPT,350000,17500,17500,0.05,0.95,General,What are the 最好的做法 for personal finance?,95,最好的做法,3,0.77,32,西班牙文,0.7526,3.51,Standard,0,10,2,Cook Islands
